CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"21509","BIOT 5095-03","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Dissertation","Linda C. DeVeaux","10","10","0","0","N/A","Bookstore Link",
"21510","BIOT 5095-04","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Dissertation","Michaelann S. Tartis","10","10","0","0","N/A","Bookstore Link",
"21512","BIOT 5095-05","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Dissertation","Stewart Thompson","10","10","0","0","N/A","Bookstore Link",
"21359","CH E 1010-01","M","T R","08/14/2023-12/08/2023","1300-1350",,"1","CLAS","Intro to Chemical Engineering","Michaelann S. Tartis","38","40","2","0","$35","Bookstore Link",
"21360","CH E 1010L-01","M","T","08/14/2023-12/08/2023","1400-1600","JONES 201","1","CLAS","Intro to Chemical Engr. Lab","Michaelann S. Tartis","18","20","2","0","$50","Bookstore Link",
"21361","CH E 3026-01","M","T R","08/14/2023-12/08/2023","0930-1045",,"3","CLAS","Principles of Chemical Engr I","Michaelann S. Tartis","30","35","5","0","$35","Bookstore Link",
"21362","CH E 3049-01","M","M W F","08/14/2023-12/08/2023","1230-1345",,"3","CLAS","Chemical Engr. Thermodynamics",,"27","30","3","0","$35","Bookstore Link",
"21363","CH E 3071-01","M","T R","08/14/2023-12/08/2023","1100-1215",,"3","CLAS","Solution Methods for Chem Eng","Youngmin Lee","10","15","5","0","$50","Bookstore Link",
"21364","CH E 4045L-01","M","W","08/14/2023-12/08/2023","1400-1700",,"1","CLAS","Unit Operations Lab","Pabitra Choudhury","15","20","5","0","$100","Bookstore Link",
"22443","CH E 4053-01","M","M W F","08/14/2023-12/08/2023","1300-1350",,"3","CLAS","Advanced Separation Processes","Jianjia Yu","9","10","1","0","N/A","Bookstore Link",
"21365","CH E 4061-01","M","T R","08/14/2023-12/08/2023","1230-1345",,"3","CLAS","Plant Design, Econ, & Mgmt I","Corey A. Leclerc","16","20","4","0","$75","Bookstore Link",
"22442","CH E 5053-01","M","M W F","08/14/2023-12/08/2023","1300-1350",,"3","CLAS","Advanced Separation Processes","Jianjia Yu","9","10","1","0","N/A","Bookstore Link",
"22461","CH E 5053-01D","DE","M W F","08/14/2023-12/08/2023","1300-1350",,"3","CLAS","Advanced Separation Processes","Jianjia Yu","10","10","0","0","N/A","Bookstore Link",
"21382","CH E 5085-01","M","F","08/14/2023-12/08/2023","1200-1250",,"1","CLAS","Graduate Seminar","Seth T. Price","15","15","0","0","N/A","Bookstore Link",
"21366","CH E 5089-01","M","T R","08/14/2023-12/08/2023","0930-1045",,"3","CLAS","Conjugated Polymers","Youngmin Lee","18","20","2","0","N/A","Bookstore Link",
"21367","CH E 5089-01D","DE","T R","08/14/2023-12/08/2023","0930-1045",,"3","CLAS","Conjugated Polymers","Youngmin Lee","15","15","0","0","N/A","Bookstore Link",
"21368","CH E 5091-01","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Pabitra Choudhury","10","10","0","0","N/A","Bookstore Link",
"21369","CH E 5091-02","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Sanchari Chowdhury","10","10","0","0","N/A","Bookstore Link",
"21370","CH E 5091-03","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Corey A. Leclerc","10","10","0","0","N/A","Bookstore Link",
"21371","CH E 5091-04","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Youngmin Lee","10","10","0","0","N/A","Bookstore Link",
"21383","CH E 5091-05","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Donglee Shin","10","10","0","0","N/A","Bookstore Link",
"21384","CH E 5091-06","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Michaelann S. Tartis","10","10","0","0","N/A","Bookstore Link",
"20884","CHEM 0130-01","M","W","08/14/2023-12/08/2023","1200-1250","LOPEZ 216","1","CLAS","Issues in Chem and Biochem","Jeff A. Altig","10","10","0","0","N/A","Bookstore Link",
"20752","CHEM 0289-01","M","W","08/14/2023-12/08/2023","2000-2050",,"1","CLAS","Chem Literature & Media","Jeff A. Altig","13","15","2","0","N/A","Bookstore Link",
