"CRN","Course","*Campus","Days","Date","Time","Location","Hrs","Type","Title","Instructor","Seats","Limit","Enroll","Waitlist","Course Fees","Catalog"
"31001","BIOL 443-01","M","T R","01/16/2023-05/09/2023","0930-1045","SPEARE 23","3","CLAS","Molecular Biology","Snezna Rogelj","4","12","8","0","$25","https://catalog.nmt.edu/courses/BIOL443",""
"31002","BIOL 443L-01","M","R","01/16/2023-05/09/2023","1400-1630","JONESA 230","1","CLAS","Molecular Biology Lab","Snezna Rogelj","5","12","7","0","$150","https://catalog.nmt.edu/courses/BIOL443",""
"30376","BIOL 471-01","M","W","01/16/2023-05/09/2023","1200-1250","JONESA 101","1","CLAS","Life Sci Seminar","Snezna Rogelj","20","30","10","0","$25","https://catalog.nmt.edu/courses/BIOL471",""
"31280","BIOL 489-01","M","T R","01/16/2023-05/09/2023","1400-1515","CRAMER 101","3","CLAS","Neurology","Stewart Thompson","5","10","5","0","$15","https://catalog.nmt.edu/courses/BIOL489",""
"30187","BIOL 500-01","M","","01/16/2023-05/09/2023","","","1","CLAS","Directed Research","Linda C. DeVeaux","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL500",""
"30188","BIOL 500-02","M","","01/16/2023-05/09/2023","","","1","CLAS","Directed Research","Benjamin D. Duval","9","10","1","0","N/A","https://catalog.nmt.edu/courses/BIOL500",""
"30189","BIOL 500-03","M","","01/16/2023-05/09/2023","","","1","CLAS","Directed Research","Thomas Kieft","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL500",""
"30190","BIOL 500-04","M","","01/16/2023-05/09/2023","","","1","CLAS","Directed Research","Snezna Rogelj","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL500",""
"30532","BIOL 500-05","M","","01/16/2023-05/09/2023","","","1","CLAS","Directed Research","Stewart Thompson","10","10","0","0","N/A","https://catalog.nmt.edu/courses/BIOL500",""
"31281","BIOL 500-06","M","","01/16/2023-05/09/2023","","","1","CLAS","Directed Research","Joel T. Sharbrough","8","10","2","0","N/A","https://catalog.nmt.edu/courses/BIOL500",""
"31035","BIOL 501-01","M","M","01/16/2023-05/09/2023","1200-1250","SPEARE 9","1","CLAS","Graduate Seminar","Snezna Rogelj","19","30","11","0","$25","https://catalog.nmt.edu/courses/BIOL501",""
"31467","BIOL 511-01","M","T R","01/16/2023-05/09/2023","1100-1215","JONESA 102","3","CLAS","Advanced Genetics","Linda C. DeVeaux","0","12","12","0","$25","https://catalog.nmt.edu/courses/BIOL511",""
"30212","BIOL 537-01","M","M W F","01/16/2023-05/09/2023","1100-1150","JONESA 101","3","CLAS","Infection and Immunity","Thomas Kieft","2","10","8","0","$25","https://catalog.nmt.edu/courses/BIOL537",""
"31004","BIOL 543-01","M","T R","01/16/2023-05/09/2023","0930-1045","SPEARE 23","3","CLAS","Molecular Biology","Snezna Rogelj","0","6","6","0","$25","https://catalog.nmt.edu/courses/BIOL543",""
"31598","BIOL 543L-01","M","R","01/16/2023-05/09/2023","1400-1630","JONESA 230","1","CLAS","Molecular Biology Lab","Snezna Rogelj","0","7","7","0","N/A","https://catalog.nmt.edu/courses/BIOL543",""
"31817","BIOL 581-01","M","","01/17/2023-05/09/2023","","","1","CLAS","Microbial Eco & Multivar Stats","Daniel S. Jones","0","1","1","0","N/A","https://catalog.nmt.edu/courses/BIOL581",""
"31283","BIOL 589-01","M","T","01/16/2023-05/09/2023","1400-1700","JONESA 104","3","CLAS","Metagenomic Analysis","Daniel S. Jones","1","10","9","0","$25","https://catalog.nmt.edu/courses/BIOL589",""
"30001","BIOL 591-01","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Linda C. DeVeaux","9","10","1","0","$10","https://catalog.nmt.edu/courses/BIOL591",""
"30002","BIOL 591-02","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Benjamin D. Duval","9","10","1","0","$10","https://catalog.nmt.edu/courses/BIOL591",""
"30003","BIOL 591-03","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Thomas Kieft","9","10","1","0","$10","https://catalog.nmt.edu/courses/BIOL591",""
"30004","BIOL 591-04","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Snezna Rogelj","10","10","0","0","$10","https://catalog.nmt.edu/courses/BIOL591",""
"30561","BIOL 591-05","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Stewart Thompson","10","10","0","0","$10","https://catalog.nmt.edu/courses/BIOL591",""
"31016","BIOL 591-06","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Joel T. Sharbrough","6","10","4","0","$10","https://catalog.nmt.edu/courses/BIOL591",""
"31468","BIOL 591-07","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Daniel S. Jones","9","10","1","0","N/A","https://catalog.nmt.edu/courses/BIOL591",""
"31469","BMS 300-01","M","M","01/16/2023-05/09/2023","1200-1250","CRAMER 239","1","CLAS","Biomedical Sciences Seminar","Kaarin K. Goncz","19","40","21","0","$25","https://catalog.nmt.edu/courses/BMS300",""
"31665","BMS 496-01","M","T","01/16/2023-05/09/2023","1525-1640","WORKC 101","2","CLAS","Biomed Resrch Design Engineeri","Mostafa Hassanalian","1","10","9","0","N/A","https://catalog.nmt.edu/courses/BMS496",""
"31273","BIOT 502-01","M","T R","01/16/2023-05/09/2023","0930-1045","SPEARE 23","3","CLAS","Molecular Biotechnology","Snezna Rogelj","5","10","5","0","N/A","https://catalog.nmt.edu/courses/BIOT502",""
