CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"30190","BIOL 500-04","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Snezna Rogelj","10","10","0","0","N/A","Bookstore Link",
"30532","BIOL 500-05","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Stewart Thompson","10","10","0","0","N/A","Bookstore Link",
"31281","BIOL 500-06","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Directed Research","Joel T. Sharbrough","8","10","2","0","N/A","Bookstore Link",
"31035","BIOL 501-01","M","M","01/16/2023-05/09/2023","1200-1250","SPEARE 9","1","CLAS","Graduate Seminar","Snezna Rogelj","19","30","11","0","$25","Bookstore Link",
"31467","BIOL 511-01","M","T R","01/16/2023-05/09/2023","1100-1215","JONESA 102","3","CLAS","Advanced Genetics","Linda C. DeVeaux","0","12","12","0","$25","Bookstore Link",
"30212","BIOL 537-01","M","M W F","01/16/2023-05/09/2023","1100-1150","JONESA 101","3","CLAS","Infection and Immunity","Thomas Kieft","2","10","8","0","$25","Bookstore Link",
"31004","BIOL 543-01","M","T R","01/16/2023-05/09/2023","0930-1045","SPEARE 23","3","CLAS","Molecular Biology","Snezna Rogelj","0","6","6","0","$25","Bookstore Link",
"31598","BIOL 543L-01","M","R","01/16/2023-05/09/2023","1400-1630","JONESA 230","1","CLAS","Molecular Biology Lab","Snezna Rogelj","0","7","7","0","N/A","Bookstore Link",
"31817","BIOL 581-01","M",,"01/17/2023-05/09/2023",,,"1","CLAS","Microbial Eco & Multivar Stats","Daniel S. Jones","0","1","1","0","N/A","Bookstore Link",
"31283","BIOL 589-01","M","T","01/16/2023-05/09/2023","1400-1700","JONESA 104","3","CLAS","Metagenomic Analysis","Daniel S. Jones","1","10","9","0","$25","Bookstore Link",
"30001","BIOL 591-01","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Linda C. DeVeaux","9","10","1","0","$10","Bookstore Link",
"30002","BIOL 591-02","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Benjamin D. Duval","9","10","1","0","$10","Bookstore Link",
"30003","BIOL 591-03","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Thomas Kieft","9","10","1","0","$10","Bookstore Link",
"30004","BIOL 591-04","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Snezna Rogelj","10","10","0","0","$10","Bookstore Link",
"30561","BIOL 591-05","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Stewart Thompson","10","10","0","0","$10","Bookstore Link",
